No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,wd,WSPM,AQI,AQI_Category
19311.0,2015.0,5.0,14.0,14.0,12.0,56.0,,8.0,,,25.2,998.2,2.0,w,2.8,56.0,Satisfactory
19312.0,2015.0,5.0,14.0,15.0,22.0,22.0,2.0,11.0,12165.106651990933,,25.5,997.8,3.4,SSE,2.9,37.0,Good
19313.0,2016.0,5.0,14.0,16.0,23.0,28.0,-19.479077724030905,14.0,400.0,,25.7,997.4,4.2,ne,2.2,38.0,Good
19314.0,2015.0,5.0,14.0,17.0,26.0,41.0,2.0,20.0,400.0,601.6902384209501,25.9,997.2,3.2,ENE,1.9,132.0,Moderate
19315.0,2015.0,5.0,14.0,18.0,26.0,44.0,2.0,22.0,400.0,123.0,25.5,997.4,2.8,NW,2.0,134.0,Moderate
19316.0,2015.0,5.0,14.0,19.0,,55.0,,40.0,500.0,,24.9,998.4,,SsE,1.8,108.0,Moderate
,2015.0,5.0,8.0,20.0,33.0,62.0,2.0,35.0,500.0,101.0,23.5,999.3,5.4,Nw,2.0,101.0,Moderate
19318.0,2015.0,5.0,14.0,21.0,33.0,83.0,2.0,36.0,600.0,75.0,22.9,1000.9,5.3,n,2.9,83.0,Satisfactory
19319.0,2015.0,5.0,14.0,22.0,27.0,42.0,,16.0,400.0,,22.4,1002.0,4.0,WnW,2.1,94.0,Satisfactory
19320.0,2015.0,5.0,14.0,23.0,21.0,37.0,2.0,7.0,300.0,88.0,22.0,1002.8,2.1,SE,3.8,88.0,Satisfactory
,2015.0,5.0,15.0,0.0,12.0,26.0,-19.479077724030905,5.0,300.0,90.0,21.0,1003.1,3.7,Nw,2.7,90.0,Satisfactory
19322.0,2015.0,5.0,15.0,1.0,17.0,18.0,2.0,6.0,400.0,79.0,19.7,1003.4,4.2,Se,3.0,79.0,Satisfactory
19323.0,2015.0,5.0,15.0,2.0,13.0,18.0,2.0,10.0,300.0,66.0,19.4,1003.6,4.7,ne,3.1,66.0,Satisfactory
19324.0,2015.0,5.0,15.0,3.0,7.0,,2.0,11.0,200.0,,18.8,1004.5,4.5,ene,2.0,70.0,Satisfactory
19325.0,2015.0,5.0,15.0,4.0,16.0,19.0,2.0,15.0,300.0,53.0,18.6,1005.3,3.6,E,1.5,53.0,Satisfactory
19326.0,2015.0,5.0,8.0,5.0,12.0,18.0,2.0,10.0,200.0,,18.6,1006.0,2.8,W,14.95458546289305,65.0,Satisfactory
19327.0,2015.0,5.0,15.0,6.0,16.0,22.0,2.0,9.0,200.0,74.0,18.1,1006.8,2.4,se,1.8,74.0,Satisfactory
19328.0,2015.0,5.0,15.0,7.0,19.0,26.0,2.0,14.0,300.0,67.0,18.3,1007.9,2.6,w,1.4,67.0,Satisfactory
19329.0,2015.0,5.0,15.0,8.0,19.0,30.0,4.0,24.0,300.0,58.0,18.9,1008.7,2.7,EnE,2.4,58.0,Satisfactory
19330.0,2015.0,5.0,15.0,9.0,19.0,30.0,3.0,18.0,300.0,64.0,20.4,1008.7,2.7,wsw,2.5,64.0,Satisfactory
19331.0,2015.0,5.0,15.0,10.0,18.0,22.0,2.0,10.0,300.0,81.0,21.9,1008.3,4.0,WSW,1.4,81.0,Satisfactory
19332.0,2015.0,5.0,15.0,11.0,20.0,20.0,2.0,,300.0,89.0,23.0,1007.4,1.3,N,1.4,89.0,Satisfactory
19333.0,2015.0,5.0,15.0,12.0,22.0,927.1583997670172,2.0,12.0,300.0,,23.4,1006.5,0.5,e,3.0,94.0,Satisfactory
19334.0,2015.0,5.0,15.0,13.0,31.0,31.0,3.0,,300.0,101.0,24.6,1005.4,0.8,Ese,2.8,101.0,Moderate
19335.0,2015.0,5.0,15.0,14.0,22.0,29.0,3.0,12.0,300.0,,25.5,1004.6,1.6,N,1.7,108.0,Moderate
19336.0,2015.0,7.0,15.0,15.0,23.0,33.0,,13.0,300.0,,25.6,1003.6,1.6,Nnw,3.0,125.0,Moderate
19337.0,2015.0,5.0,15.0,16.0,29.0,52.0,2.0,17.0,400.0,129.0,25.6,1003.2,2.9,nw,3.9,142.0,Moderate
19338.0,2015.0,5.0,15.0,17.0,30.0,55.0,2.0,17.0,,127.0,,1002.7,3.4,E,3.0,139.0,Moderate
19339.0,2015.0,5.0,15.0,18.0,24.0,-112.54314882272872,2.0,,300.0,116.0,24.3,1002.5,3.6,SsW,2.7,123.0,Moderate
19340.0,2015.0,5.0,15.0,19.0,25.0,61.0,2.0,26.0,400.0,95.0,23.3,1002.9,,N,1.8,95.0,Satisfactory
19341.0,2015.0,5.0,8.0,20.0,23.0,63.0,225.2858820025741,34.0,,80.0,20.6,1003.4,6.2,WsW,1.3,80.0,Satisfactory
19342.0,2015.0,5.0,15.0,21.0,28.0,927.1583997670172,2.0,37.0,500.0,64.0,19.7,,4.6,NnW,1.6,70.0,Satisfactory
19343.0,2015.0,5.0,15.0,7.0,32.0,50.0,2.0,,300.0,71.0,18.2,1004.5,4.0,E,1.3,71.0,Satisfactory
19344.0,2015.0,5.0,15.0,23.0,28.0,48.0,2.0,24.0,400.0,72.0,16.9,1004.7,2.5,SW,1.0,72.0,Satisfactory
19345.0,2015.0,5.0,16.0,0.0,33.0,44.0,2.0,21.0,300.0,67.0,14.9,1004.7,,nnw,,67.0,Satisfactory
19346.0,2015.0,5.0,16.0,1.0,18.0,28.0,2.0,,300.0,51.0,13.9,1004.5,,Nnw,1.1,51.0,Satisfactory
19347.0,2015.0,7.0,16.0,2.0,18.0,18.0,2.0,15.0,300.0,62.0,14.1,1004.2,-2.8,ese,1.3,62.0,Satisfactory
19348.0,2015.0,5.0,16.0,3.0,19.0,23.0,2.0,21.0,300.0,,12.3,1004.0,-0.9,wsw,1.2,54.0,Satisfactory
19349.0,2015.0,5.0,16.0,4.0,19.0,22.0,2.0,36.0,300.0,40.0,12.2,1003.7,-2.5,E,,45.0,Good
19350.0,2015.0,5.0,16.0,7.0,25.0,25.0,2.0,24.0,300.0,51.0,12.6,1003.8,-2.9,NNW,1.7,51.0,Satisfactory
19351.0,2015.0,5.0,16.0,6.0,26.0,,5.0,37.0,400.0,40.0,12.8,1004.0,-1.9,SsE,1.5,46.0,Good
19352.0,2015.0,5.0,16.0,7.0,23.0,53.0,8.0,,500.0,24.0,17.0,1004.2,-2.2,N,14.95458546289305,61.0,Satisfactory
19353.0,2015.0,5.0,16.0,8.0,37.0,65.0,8.0,51.0,400.0,23.0,19.9,1004.1,-1.9,wnw,0.9,65.0,Satisfactory
19354.0,2015.0,5.0,16.0,9.0,47.0,108.0,9.0,72.0,600.0,14.0,21.8,1003.5,0.9,ESE,1.1,106.0,Moderate
19355.0,2015.0,5.0,16.0,10.0,40.0,81.0,9.0,69.0,600.0,26.0,24.5,1002.6,3.2,nne,1.5,86.0,Satisfactory
19356.0,2015.0,5.0,16.0,11.0,35.0,70.0,9.0,,500.0,,26.3,1001.7,1.5,se,2.5,74.0,Satisfactory
19357.0,2015.0,5.0,8.0,12.0,26.0,43.0,4.0,36.0,300.0,74.0,27.6,1000.6,-2.3,NnW,2.7,74.0,Satisfactory
19358.0,2015.0,5.0,16.0,13.0,-86.80151781696924,35.0,3.0,25.0,300.0,97.0,28.6,999.2,-2.5,S,,97.0,Satisfactory
,2015.0,5.0,16.0,14.0,,41.0,2.0,20.0,300.0,114.0,29.1,998.2,-1.1,N,3.7,120.0,Moderate
19360.0,2015.0,5.0,16.0,15.0,30.0,59.0,2.0,20.0,300.0,134.0,29.3,996.9,0.0,W,3.5,150.0,Moderate
19361.0,2015.0,5.0,16.0,7.0,,75.0,4.0,17.0,,162.0,29.2,996.0,5.3,EnE,3.6,191.0,Moderate
19362.0,2016.0,5.0,16.0,17.0,,106.0,7.0,20.0,600.0,184.0,28.5,995.4,6.6,ese,3.6,239.0,Poor
19363.0,2015.0,5.0,16.0,18.0,60.0,115.0,10.0,22.0,700.0,181.0,27.4,995.2,6.2,E,4.0,231.0,Poor
19364.0,2015.0,5.0,16.0,7.0,80.0,110.0,,339.3900335658202,800.0,162.0,26.4,995.0,4.8,W,2.8,191.0,Moderate
19365.0,2015.0,5.0,16.0,20.0,81.0,129.0,21.0,34.0,1000.0,152.0,25.1,995.2,6.8,Sw,2.1,176.0,Moderate
19366.0,2015.0,5.0,16.0,21.0,795.6315748313708,156.0,22.0,34.0,,,24.2,995.4,9.0,Sw,,197.0,Moderate
19367.0,2015.0,5.0,16.0,22.0,78.0,149.0,-19.479077724030905,32.0,1300.0,,21.8,995.3,9.7,Wsw,1.1,167.0,Moderate
19368.0,2015.0,5.0,16.0,23.0,80.0,,9.0,41.0,1300.0,,20.4,994.9,9.6,WSW,1.4,166.0,Moderate
19369.0,2015.0,5.0,17.0,0.0,84.0,141.0,,40.0,,96.0,19.5,994.6,9.7,nnw,1.6,180.0,Moderate
19370.0,2015.0,5.0,17.0,1.0,75.0,116.0,7.0,30.0,1000.0,84.0,18.9,994.0,9.9,WsW,0.8,149.0,Moderate
19371.0,2016.0,5.0,17.0,2.0,73.0,120.0,5.0,,1000.0,,18.3,993.5,9.9,Sse,1.8,142.0,Moderate
19372.0,2015.0,5.0,17.0,3.0,76.0,110.0,4.0,27.0,1000.0,-69.59401846428396,18.0,992.8,10.1,Nnw,,152.0,Moderate
19373.0,2015.0,5.0,17.0,4.0,76.0,,6.0,20.0,,82.0,17.9,992.3,10.0,w,1.5,152.0,Moderate
19374.0,2015.0,5.0,17.0,7.0,74.0,110.0,3.0,19.0,800.0,85.0,16.9,992.4,10.5,EsE,0.8,145.0,Moderate
19375.0,2015.0,5.0,17.0,6.0,78.0,,4.0,24.0,1000.0,601.6902384209501,17.4,1110.0343441122984,10.7,SW,1.0,159.0,Moderate
19376.0,2015.0,7.0,17.0,7.0,88.0,,8.0,30.0,1000.0,80.0,18.8,,,E,1.5,193.0,Moderate
19377.0,2015.0,5.0,17.0,8.0,118.0,187.0,10.0,40.0,1100.0,73.0,,991.8,13.6,n,1.7,293.0,Poor
19378.0,2015.0,5.0,17.0,9.0,142.0,202.0,,41.0,1200.0,84.0,21.3,991.4,14.2,e,1.8,317.0,Very Poor
19379.0,2015.0,5.0,17.0,10.0,164.0,222.0,225.2858820025741,46.0,1200.0,90.0,22.4,990.8,14.8,sse,2.1,416.0,Severe
19380.0,2015.0,5.0,8.0,11.0,,219.0,12.0,43.0,,99.0,23.4,990.1,14.9,nnw,2.5,416.0,Severe
19381.0,2015.0,5.0,17.0,12.0,,212.0,12.0,33.0,1100.0,131.0,24.5,989.5,,nw,2.5,421.0,Severe
19382.0,2015.0,5.0,17.0,13.0,156.0,,9.0,31.0,1000.0,142.0,23.5,988.8,15.3,ese,2.0,328.0,Very Poor
19383.0,2015.0,5.0,17.0,14.0,158.0,181.0,,33.0,12165.106651990933,137.0,24.0,987.6,15.8,NnE,1.9,329.0,Very Poor
19384.0,2015.0,5.0,17.0,15.0,156.0,,12.0,31.0,1100.0,155.0,25.7,986.6,15.7,WSW,2.6,328.0,Very Poor
,2015.0,5.0,17.0,16.0,154.0,202.0,16.0,28.0,,182.0,,986.1,17.9,sse,0.7,326.0,Very Poor
19386.0,2015.0,7.0,17.0,17.0,155.0,,7.0,34.0,1200.0,128.0,24.8,986.5,17.5,Nne,1.3,327.0,Very Poor
19387.0,2015.0,5.0,17.0,18.0,150.0,176.0,225.2858820025741,29.0,1200.0,139.0,24.3,986.9,17.1,sw,1.4,323.0,Very Poor
19388.0,2015.0,5.0,17.0,19.0,159.0,178.0,6.0,34.0,1300.0,129.0,23.7,987.0,16.7,Nw,1.0,430.0,Severe
,2016.0,5.0,17.0,20.0,166.0,196.0,,55.0,-1392.0460264630833,97.0,23.3,987.6,17.1,WsW,1.4,440.0,Severe
19390.0,2015.0,5.0,17.0,7.0,795.6315748313708,224.0,4.0,,1400.0,60.0,22.6,989.3,,NNE,1.9,435.0,Severe
19391.0,2015.0,5.0,17.0,22.0,133.0,,,22.0,,144.0,22.5,989.3,14.3,SsE,1.8,310.0,Very Poor
19392.0,2015.0,5.0,17.0,23.0,88.0,88.0,5.0,22.0,900.0,,21.8,989.1,13.7,Sse,0.9,193.0,Moderate
19393.0,2015.0,5.0,18.0,0.0,61.0,,3.0,18.0,700.0,76.0,20.4,989.3,12.9,Ne,1.4,101.0,Moderate
19394.0,2015.0,5.0,18.0,1.0,48.0,48.0,2.0,18.0,12165.106651990933,68.0,19.8,989.0,12.3,SsW,0.9,80.0,Satisfactory
19395.0,2015.0,5.0,18.0,2.0,,41.0,,14.0,500.0,64.0,19.1,,11.1,Sw,1.7,68.0,Satisfactory
,2015.0,7.0,18.0,3.0,,37.0,2.0,13.0,500.0,62.0,19.3,990.2,10.6,wnw,1.0,62.0,Satisfactory
19397.0,2015.0,5.0,18.0,4.0,795.6315748313708,44.0,2.0,36.0,700.0,35.0,17.7,991.0,11.5,NW,1.5,59.0,Satisfactory
19398.0,2015.0,5.0,18.0,5.0,37.0,65.0,2.0,75.0,800.0,2.0,17.2,991.7,11.0,nw,1.1,94.0,Satisfactory
19399.0,2015.0,5.0,18.0,6.0,32.0,61.0,6.0,33.0,600.0,46.0,20.3,992.9,5.5,W,2.6,61.0,Satisfactory
19400.0,2015.0,5.0,18.0,7.0,56.0,156.0,2.0,13.0,300.0,75.0,21.2,994.3,0.4,nne,4.6,138.0,Moderate
19401.0,2015.0,5.0,18.0,8.0,59.0,128.0,2.0,13.0,300.0,77.0,21.7,994.9,-1.6,E,3.4,119.0,Moderate
19402.0,2015.0,5.0,18.0,9.0,35.0,90.0,2.0,6.0,300.0,85.0,22.1,994.9,-1.9,Ne,4.0,90.0,Satisfactory
19403.0,2015.0,5.0,18.0,10.0,42.0,,2.0,6.0,200.0,601.6902384209501,23.6,994.3,0.0,EsE,3.6,87.0,Satisfactory
19404.0,2015.0,5.0,18.0,11.0,42.0,,2.0,13.0,,84.0,24.7,994.2,-2.8,SSW,5.2,87.0,Satisfactory
19405.0,2015.0,5.0,18.0,12.0,41.0,122.0,,14.0,300.0,88.0,25.4,993.6,-4.1,W,6.3,115.0,Moderate
19406.0,2015.0,5.0,18.0,13.0,35.0,143.0,2.0,14.0,300.0,91.0,26.5,992.9,-5.2,ene,6.8,129.0,Moderate
19407.0,2015.0,5.0,18.0,14.0,-86.80151781696924,161.0,2.0,13.0,200.0,92.0,26.3,993.2,-4.3,E,6.7,141.0,Moderate
19408.0,2015.0,5.0,18.0,15.0,,67.0,2.0,11.0,300.0,94.0,27.3,992.8,-4.6,Sw,3.7,121.0,Moderate
19409.0,2015.0,5.0,18.0,16.0,227.0,227.0,,11.0,200.0,66.0,27.0,992.4,-6.0,n,6.8,487.0,Severe
,2015.0,5.0,18.0,17.0,,-112.54314882272872,,11.0,100.0,48.0,26.8,,-5.0,Ssw,4.5,62.0,Satisfactory
19411.0,2015.0,5.0,18.0,18.0,58.0,58.0,,12.0,200.0,72.0,26.5,992.0,-6.4,Se,,97.0,Satisfactory
19412.0,2015.0,5.0,8.0,19.0,,51.0,2.0,12.0,200.0,85.0,25.6,992.5,-7.1,wsw,4.8,85.0,Satisfactory
19413.0,2015.0,5.0,18.0,20.0,4.0,49.0,2.0,15.0,200.0,78.0,24.4,993.3,-6.9,Nw,2.8,78.0,Satisfactory
19414.0,2015.0,5.0,18.0,21.0,795.6315748313708,85.0,2.0,11.0,200.0,76.0,23.6,,-8.6,nw,3.8,85.0,Satisfactory
19415.0,2015.0,5.0,18.0,22.0,,146.0,2.0,10.0,200.0,77.0,22.9,,-9.2,e,3.4,131.0,Moderate
19416.0,2015.0,5.0,18.0,23.0,36.0,135.0,2.0,8.0,200.0,82.0,21.6,996.2,-10.2,Ssw,1.6,124.0,Moderate
19417.0,2015.0,5.0,19.0,0.0,30.0,104.0,2.0,11.0,,81.0,21.0,997.0,-13.1,WnW,3.0,103.0,Moderate
19418.0,2015.0,5.0,19.0,1.0,-86.80151781696924,64.0,2.0,10.0,,,20.9,997.1,-14.7,Wnw,3.4,87.0,Satisfactory
19419.0,2015.0,5.0,19.0,2.0,8.0,-112.54314882272872,2.0,35.0,100.0,,,996.9,-14.0,ese,2.9,53.0,Satisfactory
19420.0,2015.0,5.0,19.0,3.0,-86.80151781696924,32.0,2.0,59.0,200.0,21.0,19.1,996.6,-12.1,WSW,2.1,74.0,Satisfactory
19421.0,2015.0,5.0,19.0,7.0,8.0,34.0,7.0,30.0,100.0,,18.9,996.5,-12.3,Ssw,2.6,42.0,Good
19422.0,2015.0,5.0,19.0,5.0,3.0,29.0,6.0,40.0,200.0,42.0,19.2,996.8,-10.9,Wnw,3.7,50.0,Good
19423.0,2015.0,5.0,19.0,6.0,3.0,,3.0,29.0,200.0,57.0,19.5,996.8,-9.7,ne,4.6,57.0,Satisfactory
19424.0,2015.0,7.0,19.0,7.0,8.0,,2.0,18.0,100.0,70.0,20.4,997.1,-9.0,NNE,5.1,70.0,Satisfactory
19425.0,2015.0,5.0,19.0,8.0,,,2.0,14.0,,76.0,21.1,997.3,-8.4,Nw,6.3,76.0,Satisfactory
19426.0,2015.0,5.0,19.0,9.0,35.0,72.0,2.0,13.0,300.0,76.0,22.2,997.5,-8.6,n,7.2,76.0,Satisfactory
19427.0,2015.0,5.0,19.0,10.0,56.0,65.0,2.0,15.0,,45.0,23.3,997.6,-8.9,N,6.8,93.0,Satisfactory
19428.0,2015.0,5.0,19.0,11.0,16.0,64.0,2.0,15.0,,40.0,24.7,998.3,-6.6,Ne,4.8,64.0,Satisfactory
19429.0,2015.0,5.0,19.0,12.0,13.0,77.0,2.0,-50.54154295060326,,61.0,25.2,,,WnW,6.6,77.0,Satisfactory
19430.0,2015.0,5.0,19.0,13.0,17.0,,2.0,8.0,300.0,,25.4,998.1,,wnw,6.2,95.0,Satisfactory
19431.0,2015.0,5.0,19.0,14.0,21.0,84.0,2.0,,200.0,88.0,25.6,998.8,0.2,wnw,5.3,88.0,Satisfactory
19432.0,2015.0,5.0,19.0,15.0,-86.80151781696924,49.0,2.0,-50.54154295060326,300.0,99.0,24.4,999.3,0.6,e,6.3,99.0,Satisfactory
19433.0,2015.0,5.0,19.0,16.0,10.0,38.0,,10.0,300.0,,24.5,999.8,0.7,WnW,4.0,38.0,Good
19434.0,2015.0,5.0,19.0,17.0,68.0,68.0,2.0,,300.0,,24.8,999.9,1.0,E,4.1,125.0,Moderate
19435.0,2015.0,5.0,19.0,18.0,,21.0,2.0,10.0,300.0,90.0,24.3,1000.2,0.6,Ssw,3.3,90.0,Satisfactory
19436.0,2015.0,5.0,19.0,19.0,44.0,44.0,,15.0,300.0,80.0,23.3,1001.0,0.4,ssw,,80.0,Satisfactory
19437.0,2015.0,5.0,8.0,20.0,19.0,,2.0,,300.0,83.0,22.3,1002.0,0.1,w,3.0,83.0,Satisfactory
19438.0,2015.0,5.0,19.0,21.0,19.0,,2.0,12.0,300.0,81.0,21.1,1002.9,0.8,Nw,2.0,81.0,Satisfactory
19439.0,2015.0,5.0,19.0,22.0,16.0,-112.54314882272872,2.0,,300.0,73.0,21.0,1003.7,,S,3.2,73.0,Satisfactory
19440.0,2015.0,5.0,19.0,23.0,16.0,25.0,2.0,20.0,300.0,69.0,20.2,1004.4,0.1,Nw,2.6,69.0,Satisfactory
19441.0,2015.0,5.0,20.0,0.0,14.0,24.0,2.0,10.0,-1392.0460264630833,79.0,20.2,1005.3,0.6,w,1.7,79.0,Satisfactory
19442.0,2015.0,5.0,20.0,1.0,11.0,24.0,2.0,11.0,300.0,74.0,20.0,1005.6,0.9,WnW,1.4,74.0,Satisfactory
19443.0,2015.0,5.0,20.0,2.0,8.0,19.0,,,300.0,77.0,,1005.8,0.7,Sw,14.95458546289305,77.0,Satisfactory
19444.0,2015.0,5.0,20.0,3.0,10.0,18.0,2.0,9.0,200.0,,19.5,,0.5,E,1.8,78.0,Satisfactory
19445.0,2015.0,5.0,20.0,4.0,14.0,19.0,2.0,8.0,200.0,77.0,19.6,1006.8,0.6,ene,3.2,77.0,Satisfactory
19446.0,2015.0,5.0,20.0,5.0,12.0,19.0,2.0,8.0,300.0,76.0,17.0,1007.4,1.4,Sw,1.1,76.0,Satisfactory
19447.0,2015.0,5.0,20.0,6.0,7.0,21.0,2.0,12.0,,71.0,17.5,1007.9,,NnW,1.2,71.0,Satisfactory
19448.0,2015.0,5.0,20.0,7.0,16.0,41.0,2.0,47.0,400.0,32.0,20.0,1008.5,2.8,SsW,1.1,59.0,Satisfactory
19449.0,2015.0,5.0,20.0,7.0,16.0,,4.0,,400.0,51.0,22.5,,1.5,Wsw,1.8,51.0,Satisfactory
19450.0,2015.0,5.0,20.0,7.0,,,4.0,,,76.0,23.9,1009.2,1.5,Nne,3.4,76.0,Satisfactory
19451.0,2015.0,5.0,20.0,7.0,13.0,27.0,5.0,,400.0,67.0,25.1,1009.1,139.72168341311215,ENE,3.1,67.0,Satisfactory
19452.0,2015.0,5.0,20.0,11.0,11.0,18.0,2.0,,200.0,35.0,26.0,1007.8,2.0,ESE,3.2,35.0,Good
19453.0,2015.0,5.0,20.0,12.0,14.0,23.0,2.0,,200.0,54.0,27.3,1110.0343441122984,0.1,Se,2.5,54.0,Satisfactory
19454.0,2015.0,5.0,20.0,13.0,18.0,18.0,2.0,10.0,300.0,95.0,28.2,1006.3,0.8,ne,2.5,95.0,Satisfactory
19455.0,2016.0,5.0,20.0,14.0,14.0,20.0,2.0,10.0,300.0,,29.0,1005.4,0.6,WSW,3.7,101.0,Moderate
19456.0,2015.0,5.0,20.0,15.0,9.0,22.0,2.0,11.0,,103.0,29.6,1004.5,0.2,s,3.8,104.0,Moderate
19457.0,2015.0,5.0,20.0,16.0,9.0,22.0,2.0,339.3900335658202,300.0,103.0,29.7,1003.6,0.3,WsW,2.9,104.0,Moderate
19458.0,2015.0,5.0,20.0,17.0,14.0,26.0,2.0,17.0,300.0,103.0,29.5,1003.1,-0.8,Ne,1.5,104.0,Moderate
19459.0,2015.0,5.0,20.0,18.0,20.0,34.0,2.0,16.0,400.0,106.0,,1003.1,-0.3,sse,2.0,108.0,Moderate
19460.0,2015.0,5.0,20.0,19.0,22.0,-112.54314882272872,2.0,27.0,,94.0,27.5,1003.2,-0.6,Nne,1.2,94.0,Satisfactory
19461.0,2015.0,5.0,8.0,20.0,21.0,,2.0,46.0,500.0,85.0,25.1,1003.6,139.72168341311215,W,1.5,85.0,Satisfactory
19462.0,2015.0,5.0,20.0,21.0,27.0,89.0,2.0,45.0,500.0,75.0,21.6,1004.2,3.7,ssw,1.5,89.0,Satisfactory
19463.0,2015.0,5.0,20.0,22.0,25.0,53.0,2.0,45.0,,60.0,20.5,1004.5,,SsW,1.2,60.0,Satisfactory
19464.0,2015.0,5.0,20.0,23.0,26.0,33.0,2.0,18.0,400.0,,,1004.6,1.6,w,,74.0,Satisfactory
19465.0,2015.0,5.0,21.0,0.0,28.0,28.0,2.0,27.0,400.0,66.0,18.1,1004.9,1.6,Nne,1.1,66.0,Satisfactory
19466.0,2015.0,5.0,21.0,1.0,29.0,31.0,2.0,24.0,400.0,58.0,18.2,1004.8,0.8,w,1.6,58.0,Satisfactory
19467.0,2015.0,5.0,21.0,2.0,18.0,22.0,2.0,,300.0,64.0,18.2,1004.3,-0.1,NNE,1.6,64.0,Satisfactory
19468.0,2015.0,5.0,21.0,3.0,795.6315748313708,35.0,2.0,21.0,300.0,64.0,17.6,1004.5,0.3,NnE,1.0,64.0,Satisfactory
19469.0,2015.0,5.0,21.0,4.0,19.0,33.0,7.0,27.0,400.0,41.0,16.0,1004.6,1.3,sse,1.4,41.0,Good
19470.0,2015.0,5.0,21.0,5.0,25.0,42.0,,50.0,,22.0,15.8,1004.5,1.9,NnW,1.6,62.0,Satisfactory
19471.0,2015.0,5.0,21.0,6.0,795.6315748313708,59.0,3.0,45.0,700.0,33.0,15.4,1004.5,2.5,E,1.1,59.0,Satisfactory
19472.0,2015.0,5.0,21.0,7.0,25.0,54.0,3.0,51.0,600.0,26.0,,1004.6,3.6,wnw,0.4,64.0,Satisfactory
19473.0,2015.0,5.0,21.0,8.0,25.0,56.0,2.0,54.0,500.0,26.0,23.0,1004.7,3.0,WSW,14.95458546289305,67.0,Satisfactory
19474.0,2015.0,5.0,21.0,9.0,33.0,72.0,4.0,64.0,600.0,28.0,23.8,1004.3,3.1,WNW,1.1,80.0,Satisfactory
19475.0,2015.0,5.0,21.0,7.0,29.0,86.0,4.0,58.0,500.0,41.0,24.8,1004.1,6.5,NNW,1.9,86.0,Satisfactory
19476.0,2015.0,5.0,21.0,11.0,33.0,91.0,6.0,66.0,600.0,47.0,127.27654148446612,1003.6,5.5,S,1.6,91.0,Satisfactory
19477.0,2015.0,5.0,21.0,12.0,32.0,58.0,5.0,48.0,500.0,,27.7,1002.9,3.4,Ene,2.8,80.0,Satisfactory
19478.0,2015.0,5.0,8.0,13.0,35.0,58.0,3.0,,600.0,102.0,28.4,1002.1,4.0,WnW,,102.0,Moderate
19479.0,2015.0,5.0,21.0,14.0,44.0,78.0,225.2858820025741,51.0,600.0,136.0,29.1,1110.0343441122984,4.5,sw,2.8,153.0,Moderate
19480.0,2015.0,5.0,21.0,15.0,36.0,78.0,6.0,23.0,500.0,163.0,29.2,999.8,5.3,Nnw,3.5,193.0,Moderate
19481.0,2015.0,5.0,21.0,16.0,43.0,94.0,8.0,,-1392.0460264630833,174.0,29.5,999.1,6.2,wsw,4.0,214.0,Poor
19482.0,2015.0,5.0,21.0,17.0,47.0,,8.0,21.0,600.0,163.0,28.8,998.8,7.4,W,4.0,193.0,Moderate
19483.0,2015.0,5.0,21.0,18.0,34.0,156.0,5.0,22.0,500.0,142.0,27.2,998.8,7.6,Sse,3.5,162.0,Moderate
19484.0,2016.0,5.0,21.0,7.0,26.0,126.0,3.0,26.0,400.0,131.0,25.7,1110.0343441122984,139.72168341311215,E,1.8,145.0,Moderate
19485.0,2015.0,5.0,21.0,20.0,22.0,,3.0,,12165.106651990933,116.0,24.6,999.6,7.3,Sw,2.5,123.0,Moderate
19486.0,2016.0,5.0,21.0,21.0,-86.80151781696924,94.0,3.0,27.0,500.0,101.0,,1000.4,7.8,wnw,1.6,101.0,Moderate
19487.0,2015.0,5.0,21.0,22.0,,101.0,6.0,34.0,600.0,91.0,22.2,1001.0,7.6,NW,2.1,101.0,Moderate
,2015.0,5.0,21.0,23.0,30.0,84.0,,29.0,600.0,,21.1,1001.1,7.7,N,1.7,92.0,Satisfactory
19489.0,2015.0,5.0,22.0,0.0,36.0,88.0,5.0,339.3900335658202,600.0,86.0,19.5,1001.2,139.72168341311215,SW,1.1,88.0,Satisfactory
,2016.0,5.0,22.0,1.0,30.0,71.0,4.0,21.0,600.0,83.0,19.0,,7.7,Ne,1.1,83.0,Satisfactory
,2015.0,5.0,22.0,2.0,29.0,60.0,3.0,17.0,500.0,86.0,18.6,1001.4,7.7,NE,1.0,86.0,Satisfactory
19492.0,2015.0,5.0,22.0,3.0,,84.0,2.0,21.0,500.0,75.0,16.5,1001.5,7.9,Nne,1.4,180.0,Moderate
19493.0,2015.0,5.0,22.0,4.0,42.0,58.0,2.0,22.0,500.0,67.0,15.4,1001.4,7.9,ne,1.2,70.0,Satisfactory
19494.0,2015.0,5.0,22.0,5.0,36.0,56.0,2.0,25.0,500.0,59.0,14.4,1001.9,7.9,E,1.0,59.0,Satisfactory
19495.0,2015.0,5.0,22.0,6.0,41.0,60.0,2.0,30.0,600.0,,15.4,1001.8,7.9,SsE,0.8,68.0,Satisfactory
19496.0,2015.0,5.0,22.0,7.0,,80.0,4.0,31.0,700.0,57.0,18.1,1002.4,8.9,Nne,0.4,115.0,Moderate
19497.0,2015.0,5.0,22.0,8.0,102.0,102.0,6.0,65.0,700.0,33.0,19.2,1002.5,8.8,WnW,1.5,239.0,Poor
